city,name,address,latitude,longitude,state,country,michelin_stars,chef,google_maps_link,website,venue_type,cuisine_type,collection,notes,description
Denali National Park and Preserve,Moose-AKa's,"Denali National Park and Preserve, 238.9 Parks Hwy, Denali National Park and Preserve, AK 99755, USA",63.748941,-148.8993459,Alaska,United States,0,,https://www.google.com/maps/place/Moose-AKa's/data=!4m2!3m1!1s0x56ccd8a600f38b3b:0xe010c3e881a87c7,https://www.moose-akas.com/,Bar,,Saved,,Serbian specialties & imported wines offered in a rustic setting...
Denali National Park and Preserve,Prospectors Pizzeria and Alehouse,"238.9 George Parks Highway Denali National Park and Preserve, Denali National Park and Preserve, AK 99755, USA",63.74910730000001,-148.8988952,Alaska,United States,0,,https://www.google.com/maps/place/Prospectors+Pizzeria+and+Alehouse/data=!4m2!3m1!1s0x56ccd8a6008a49d5:0xf93079269a83cd65,https://www.prospectorspizza.com/,Bar,,Saved,,"Rustic-style haunt offering draft beers, brick oven pizzas & other..."
Seward,Nature's Nectars,"1313 4th Ave, Seward, AK 99664, USA",60.11783959999999,-149.4403678,Alaska,United States,0,,https://www.google.com/maps/place/Nature's+Nectars/data=!4m2!3m1!1s0x56c79c637d094481:0xf57eb04b8bb14ddf,http://natures-nectars.square.site/,Cafe,,Saved,,
Whittier,Varly's Swiftwater Seafood Cafe,"Harbor Rd, Whittier, AK 99693, USA",60.7774077,-148.6851767,Alaska,United States,0,,https://www.google.com/maps/place/Varly's+Swiftwater+Seafood+Cafe/data=!4m2!3m1!1s0x56c80c67ad848299:0x95b9aeb0da99ad5c,https://www.swiftwaterseafoodcafe.com/,Bar,,Saved,,
Seward,Resurrect Art Coffee House,"320 3rd Ave, Seward, AK 99664, USA",60.10394259999999,-149.4416504,Alaska,United States,0,,https://www.google.com/maps/place/Resurrect+Art+Coffee+House/data=!4m2!3m1!1s0x56c79c6379f4aac1:0x2b410730399868f,http://resurrectart.com/,Museum,,Saved,,Funky hangout with craft coffee drinks & Wi-Fi in an...
Seward,Seward Brewing Company,"139 4th Ave, Seward, AK 99664, USA",60.1008306,-149.4408862,Alaska,United States,0,,https://www.google.com/maps/place/Seward+Brewing+Company/data=!4m2!3m1!1s0x56c79c63cc554749:0xc874040c26e9fda,https://www.sewardbrewery.com/,Bar,,Saved,,Convivial brewpub serving local brews & diverse bites in an...
Seward,Le Barn Appetit Inn & Creperie,"11786 Old Exit Glacier Rd, Seward, AK 99664, USA",60.1520642,-149.4222308,Alaska,United States,0,,https://www.google.com/maps/place/Le+Barn+Appetit+Inn+%26+Creperie/data=!4m2!3m1!1s0x56c79bc635383d21:0xbbb4eb0bcefb3c5f,http://lebarnappetit.com/,Hotel,,Saved,,
New York,Little Mermaid,"89 MacDougal St, New York, NY 10012, USA",40.729145,-74.0013618,New York,United States,0,,https://www.google.com/maps/place/Little+Mermaid/data=!4m2!3m1!1s0x56c12c10624fa0a3:0x30c0b73bd82bcf1b,http://www.themermaidnyc.com/,Restaurant,,Saved,,Upscale seafood spot known for its lobster rolls and oyster happy hours.
Dobbs Ferry,The Cookery,"39 Chestnut St, Dobbs Ferry, NY 10522, USA",41.0141674,-73.87659289999999,New York,United States,0,,https://www.google.com/maps/place/The+Cookery/data=!4m2!3m1!1s0x56c79c624c9e1b33:0x8c207db5a2f0ef44,http://thecookeryrestaurant.com/,Bar,,Saved,,Housemade pasta & other inventive & modern Italian dishes in...
Seward,Alaska SeaLife Center,"301 Railway Ave, Seward, AK 99664, USA",60.0998464,-149.4407077,Alaska,United States,0,,https://www.google.com/maps/place/Alaska+SeaLife+Center/data=!4m2!3m1!1s0x56c79c622bf41389:0x95b8a62ab521529,https://www.alaskasealife.org/,Hiking,,Saved,,"Exhibits on Alaskan marine life, from harbor seals to king..."
